templateID,candidateID,demographicsCosine,travelJaccard,glEmail-undir5,glPhone-undir5,dtwAllEdges,dtwCommunication,dtwTravel,Country,F_Smoker,F_Education,F_Property,F_Mortgage,F_Gas,F_Rich,F_Renting,templateNeighbors,candidateNeighbors,nbCommonCommNeighbors
0,584811,0.005432471273096817,,0.09523809999999999,0.09523809999999999,0.033879219569371746,0.17004606037954073,,False,False,False,False,False,False,False,False,24,22,5.0
2,477769,0.008651359011825399,,1.0,1.0,,,,False,False,False,False,False,False,False,False,25,27,0.0
27,572500,0.005843577003471601,,0.33333330000000005,0.33333330000000005,0.03986556962065871,0.208263040350187,,False,False,False,False,False,False,False,False,32,30,58.0
29,500192,0.011413114619138465,,1.0,1.0,,,,False,False,False,False,False,False,False,False,22,24,0.0
31,480268,0.009647992054903298,,1.0,1.0,,,,False,False,False,False,False,False,False,False,24,26,0.0
33,516694,0.013754030717396781,,1.0,1.0,,,,False,False,False,False,False,False,False,False,22,24,0.0
34,615605,0.008175099055173218,,0.42857140000000005,0.42857140000000005,0.05060118882782632,0.2643473436074007,,False,False,False,False,False,False,False,False,29,27,56.0
35,480375,0.005863549197003104,,1.0,1.0,,,,False,False,False,False,False,False,False,False,18,24,0.0
36,476124,0.013053683886333822,,1.0,1.0,,,,False,False,False,False,False,False,False,False,21,22,0.0
37,638752,0.0070591452725125015,,0.42857140000000005,0.42857140000000005,0.044073045495171936,0.2302434541800724,,False,False,False,False,False,False,False,False,29,28,64.0
38,545850,0.004765886497379579,,1.0,1.0,,,,False,False,False,False,False,False,False,False,20,21,0.0
39,634303,0.09063167184418147,0.4,0.19047619999999998,0.19047619999999998,0.11922701181404448,0.5808178695515158,,False,False,False,False,False,False,False,False,27,27,0.0
40,612378,0.09646960056021558,0.4,0.42857140000000005,0.42857140000000005,0.1569509045475164,0.4445113738092459,,False,False,False,False,False,False,False,False,29,21,0.0
41,536893,0.06430305938772257,0.4,0.42857140000000005,0.42857140000000005,,,,False,False,False,False,False,False,False,False,36,23,0.0
42,463126,0.007108917560838979,,1.0,1.0,,,,False,False,False,False,False,False,False,False,19,21,0.0
43,482973,0.004898692159442997,,1.0,1.0,0.11275685845852879,0.5890568324085792,,False,False,False,False,False,False,False,False,30,20,3.0
44,536715,0.033036501901836324,,1.0,1.0,,,,False,False,False,False,False,False,False,False,18,25,0.0
45,594766,0.0020671537332574985,,0.14285713,0.14285713,0.03758561948617627,0.1963522774695264,,False,False,False,False,False,False,False,False,35,35,35.0
46,561312,0.0071288973766605035,,1.0,1.0,,,,False,False,False,False,False,False,False,False,22,26,0.0
47,546999,0.0034350034549285313,,0.14285713,0.14285713,0.06710375287574333,0.35055893408250244,,False,False,False,False,False,False,False,False,29,28,40.0
48,645393,0.008352659665084694,,1.0,1.0,,,,False,False,False,False,False,False,False,False,18,24,0.0
49,634283,0.00447770058819319,,1.0,1.0,,,,False,False,False,False,False,False,False,False,27,31,0.0
52,598220,0.007146102139756028,,1.0,1.0,,,,False,False,False,False,False,False,False,False,21,22,0.0
53,479204,0.007210444711724218,,1.0,1.0,,,,False,False,False,False,False,False,False,False,17,20,0.0
54,600329,0.03665940740498819,,1.0,1.0,,,,False,False,False,False,False,False,False,False,20,25,0.0
55,655636,0.0033853544852480155,,1.0,1.0,,,,False,False,False,False,False,False,False,False,15,17,0.0
56,636990,0.007027547156283398,,0.33333330000000005,0.33333330000000005,0.07917551477703427,0.41362342456562784,,False,False,False,False,False,False,False,False,29,28,43.0
57,581406,0.006068022660761119,,0.38095236,0.38095236,0.035158127696731496,0.18367073735093498,,False,False,False,False,False,False,False,False,33,33,24.0
58,519424,8.38321000404818e-05,,0.38095236,0.38095236,0.03758561948617627,0.1963522774695264,,False,False,False,False,False,False,False,False,26,24,62.0
59,558277,0.0005359238806785793,,1.0,1.0,,,,False,False,False,False,False,False,False,False,17,19,0.0
60,652002,0.0007576454672191812,,1.0,1.0,,,,False,False,False,False,False,False,False,False,18,21,0.0
61,508951,0.002819692421555886,,1.0,1.0,,,,False,False,False,False,False,False,False,False,21,19,0.0
62,597992,0.0045323678180809734,,1.0,1.0,,,,False,False,False,False,False,False,False,False,20,18,0.0
63,551810,0.011669106183397226,,0.5238095199999999,0.5238095199999999,0.05792332976771215,0.3025991821869996,,False,False,False,False,False,False,False,False,30,30,67.0
64,497185,0.016038374398403887,,1.0,1.0,,,,False,False,False,False,False,False,False,False,20,19,0.0
65,593266,0.006572221389187394,,0.28571427000000005,0.28571427000000005,0.04972110101636284,0.2597496477727589,,False,False,False,False,False,False,False,False,29,27,5.0
73,568093,,0.0,1.0,1.0,0.08351707332209497,,0.5303300858899106,False,False,False,False,False,False,False,False,4,27,0.0
74,547661,,0.25,1.0,1.0,0.0,,,False,False,False,False,False,False,False,False,4,20,0.0
75,559042,,0.25,1.0,1.0,0.013288523206886239,,,False,False,False,False,False,False,False,False,4,26,0.0
77,494508,,0.0,1.0,1.0,0.036392119581712415,,,False,False,False,False,False,False,False,False,5,30,0.0
78,599441,,0.0,1.0,1.0,0.08611947316860498,,0.82915619758885,False,False,False,False,False,False,False,False,5,28,0.0
79,629627,,0.0,1.0,1.0,0.05637842922926439,,0.6731456008918131,False,False,False,False,False,False,False,False,5,23,0.0
80,494556,,0.25,1.0,1.0,0.013288523206886239,,,False,False,False,False,False,False,False,False,5,25,0.0
82,457397,,0.0,1.0,1.0,0.1632921069801387,,,False,False,False,False,False,False,False,False,2,25,0.0
83,457699,,0.0,1.0,1.0,0.11157612583302379,,,False,False,False,False,False,False,False,False,2,26,0.0
84,459691,,0.0,1.0,1.0,0.15946227848263483,,,False,False,False,False,False,False,False,False,2,26,0.0
85,566386,,0.19999999999999996,1.0,1.0,0.013288523206886239,,,False,False,False,False,False,False,False,False,5,25,0.0
86,461245,,0.25,1.0,1.0,0.033879219569371746,,,False,False,False,False,False,False,False,False,5,22,0.0
87,646838,,0.25,1.0,1.0,0.018792809743088133,,,False,False,False,False,False,False,False,False,5,19,0.0
