templateID,candidateID,demographicsCosine,travelJaccard,glEmail-undir5,glPhone-undir5,dtwAllEdges,dtwCommunication,dtwTravel,Country,F_Smoker,F_Education,F_Property,F_Mortgage,F_Gas,F_Rich,F_Renting,templateNeighbors,candidateNeighbors,nbCommonCommNeighbors
0,584811,0.005432471273096817,,0.09523809999999999,0.09523809999999999,0.033879219569371746,0.1702513061517497,,False,False,False,False,False,False,False,False,24,22,5.0
2,477769,0.008651359011825399,,1.0,1.0,,,,False,False,False,False,False,False,False,False,25,26,0.0
27,572500,0.005843577003471601,,0.33333330000000005,0.33333330000000005,0.04506357468876023,0.23570226039551578,,False,False,False,False,False,False,False,False,32,29,53.0
29,500192,0.011413114619138465,,1.0,1.0,,,,False,False,False,False,False,False,False,False,22,25,0.0
31,480268,0.009647992054903298,,1.0,1.0,,,,False,False,False,False,False,False,False,False,24,26,0.0
33,516694,0.013754030717396781,,1.0,1.0,,,,False,False,False,False,False,False,False,False,22,24,0.0
34,615605,0.008175099055173218,,0.42857140000000005,0.42857140000000005,0.05397823643682,0.2823298512866399,,False,False,False,False,False,False,False,False,29,27,52.0
35,480375,0.005863549197003104,,1.0,1.0,,,,False,False,False,False,False,False,False,False,18,24,0.0
36,476124,0.013053683886333822,,1.0,1.0,,,,False,False,False,False,False,False,False,False,21,22,0.0
37,638752,0.0070591452725125015,,0.42857140000000005,0.42857140000000005,0.04698202435772033,0.2457365935914952,,False,False,False,False,False,False,False,False,29,27,60.0
38,545850,0.004765886497379579,,1.0,1.0,,,,False,False,False,False,False,False,False,False,20,21,0.0
39,648781,0.053657729316346936,0.4,0.42857140000000005,0.42857140000000005,1.520519466542865e-163,0.7613869876268811,,False,False,False,False,False,False,False,False,27,17,0.0
40,612378,0.09646960056021558,0.4,0.42857140000000005,0.42857140000000005,0.1569509045475164,0.44504789950098794,,False,False,False,False,False,False,False,False,29,21,0.0
41,583251,0.045472899602161776,0.33333333333333337,0.19047619999999998,0.19047619999999998,0.1902626974713924,0.9878488804609837,,False,False,False,False,False,False,False,False,36,21,0.0
42,463126,0.007108917560838979,,1.0,1.0,,,,False,False,False,False,False,False,False,False,19,21,0.0
43,482973,0.004898692159442997,,1.0,1.0,0.11275685845852879,0.5897678246195884,,False,False,False,False,False,False,False,False,30,20,3.0
44,536715,0.033036501901836324,,1.0,1.0,,,,False,False,False,False,False,False,False,False,18,25,0.0
45,594766,0.0020671537332574985,,0.14285713,0.14285713,0.035158127696731496,0.18389242812245676,,False,False,False,False,False,False,False,False,35,35,30.0
46,561312,0.0071288973766605035,,1.0,1.0,,,,False,False,False,False,False,False,False,False,22,26,0.0
47,546999,0.0034350034549285313,,0.14285713,0.14285713,0.07575623798175637,0.39623835114470474,,False,False,False,False,False,False,False,False,29,27,29.0
48,645393,0.008352659665084694,,1.0,1.0,,,,False,False,False,False,False,False,False,False,18,25,0.0
49,634283,0.00447770058819319,,1.0,1.0,,,,False,False,False,False,False,False,False,False,27,31,0.0
52,598220,0.007146102139756028,,1.0,1.0,,,,False,False,False,False,False,False,False,False,21,22,0.0
53,479204,0.007210444711724218,,1.0,1.0,,,,False,False,False,False,False,False,False,False,17,20,0.0
54,600329,0.03665940740498819,,1.0,1.0,,,,False,False,False,False,False,False,False,False,20,24,0.0
55,655636,0.0033853544852480155,,1.0,1.0,,,,False,False,False,False,False,False,False,False,15,18,0.0
56,636990,0.007027547156283398,,0.33333330000000005,0.33333330000000005,0.07917551477703427,0.4141226684704217,,False,False,False,False,False,False,False,False,29,27,37.0
57,581406,0.006068022660761119,,0.38095236,0.38095236,0.036392119581712415,0.19034674690672027,,False,False,False,False,False,False,False,False,33,32,23.0
58,595539,0.0011754126735579185,,0.23809519999999995,0.23809519999999995,0.12106420804125467,0.6332189065203906,,False,False,False,False,False,False,False,False,26,20,0.0
59,558277,0.0005359238806785793,,1.0,1.0,,,,False,False,False,False,False,False,False,False,17,18,0.0
60,652002,0.0007576454672191812,,1.0,1.0,,,,False,False,False,False,False,False,False,False,18,21,0.0
61,508913,0.0028255250026515966,,1.0,1.0,,,,False,False,False,False,False,False,False,False,21,20,0.0
62,597992,0.0045323678180809734,,1.0,1.0,,,,False,False,False,False,False,False,False,False,20,18,0.0
63,551810,0.011669106183397226,,0.5238095199999999,0.5238095199999999,0.08028291841499238,0.41991487520146137,,False,False,False,False,False,False,False,False,30,28,41.0
64,497185,0.016038374398403887,,1.0,1.0,,,,False,False,False,False,False,False,False,False,20,19,0.0
65,593266,0.006572221389187394,,0.28571427000000005,0.28571427000000005,0.04972110101636284,0.260063165868498,,False,False,False,False,False,False,False,False,29,27,5.0
73,568093,,0.0,1.0,1.0,0.08456764384389659,,0.5303300858899106,False,False,False,False,False,False,False,False,4,29,0.0
74,559042,,0.25,1.0,1.0,0.016275050646002032,,,False,False,False,False,False,False,False,False,4,26,0.0
75,463038,,0.33333333333333337,1.0,1.0,0.0,,,False,False,False,False,False,False,False,False,4,26,0.0
77,494508,,0.0,1.0,1.0,0.04202200007376542,,,False,False,False,False,False,False,False,False,5,33,0.0
78,599441,,0.0,1.0,1.0,0.08713867400791699,,0.82915619758885,False,False,False,False,False,False,False,False,5,30,0.0
79,629627,,0.0,1.0,1.0,0.12069900597828556,,0.6731456008918131,False,False,False,False,False,False,False,False,5,24,0.0
80,494556,,0.25,1.0,1.0,0.013288523206886239,,,False,False,False,False,False,False,False,False,5,25,0.0
82,457699,,0.0,1.0,1.0,0.11157612583302379,,,False,False,False,False,False,False,False,False,2,26,0.0
83,459811,,0.0,1.0,1.0,0.0,,,False,False,False,False,False,False,False,False,2,24,0.0
84,460534,,0.0,1.0,1.0,0.07217515532431257,,,False,False,False,False,False,False,False,False,2,27,0.0
85,566386,,0.19999999999999996,1.0,1.0,0.013288523206886239,,,False,False,False,False,False,False,False,False,5,25,0.0
86,463884,,0.4,1.0,1.0,0.033879219569371746,,,False,False,False,False,False,False,False,False,5,22,0.0
87,534237,,0.4,1.0,1.0,0.018792809743088133,,,False,False,False,False,False,False,False,False,5,26,0.0
