NodeID,NodeType,Water and other public services,Electricity,Household furnishings,Natural gas,Miscellaneous,Gifts,Healthcare,Restaurants,Alcohol,Home maintenance,Housekeeping supplies,Money income before taxes,Personal insurance and pensions,Reading,Transportation,Education,Telephone services,Lodging away from home,Groceries,Donations,Entertainment,Apparel and services,Personal taxes,Mortgage payments,Rented dwellings,Personal care products and services,Tobacco,Household operations,Property taxes,edgeOrder,Country,F_Smoker,F_Education,F_Gas,F_Property,F_Mortgage,F_Renting,F_Rich
570284,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,False,False,False,False,False,False,False
643925,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,False,False,False,False,False,False,False
649553,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,False,False,False,False,False,False,False
568093,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,False,False,False,False,False,False,False
464459,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,False,False,False,False,False,False,False
635665,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,False,False,False,False,False,False,False
629627,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,False,False,False,False,False,False,False
534034,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,False,False,False,False,False,False,False
599441,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,False,False,False,False,False,False,False
585212,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,False,False,False,False,False,False,False
610497,1,-516.88,-382.9,-91.95,,-1626.32,,,-191.06,-164.35,,-476.32,3704.63,-2020.36,,-3200.7,,-180.33,-299.92,-707.62,,,-365.16,-119.2,,-961.13,-196.78,-271.92,,,67,,False,False,False,False,False,False,False
578531,1,-564.37,-604.91,-979.19,-794.95,-2131.32,535.49,,-1875.25,-112.79,,-951.82,44432.6,-4032.44,,-3994.14,-4967.63,-765.2,-1464.95,-3687.96,,-1122.89,-94.12,-6814.56,-1367.71,-5216.01,-779.39,-127.15,-842.49,,75,,False,False,False,False,False,False,False
657076,1,-595.71,-458.72,-242.37,,-180.6,,,-1922.91,-384.3,,-530.82,36157.5,,,-7256.03,,-501.28,-1950.69,-2596.98,,,-1384.47,-5823.53,-1257.76,-4887.83,,-983.51,-719.92,,66,,False,False,False,False,False,False,False
478754,1,-546.44,-1232.64,-2312.74,,,197.45,,-904.42,-334.0,,,29465.3,,-132.51,,-179.32,,-1763.76,-1567.57,,,-671.78,-2277.9,-611.39,-6376.02,-105.23,,-885.78,,30,,False,False,False,False,False,False,False
575295,1,-173.64,-429.42,-2150.02,,,,,-1211.81,-516.47,,-277.44,25163.8,,-60.24,-5529.22,-2117.18,,,-1609.94,-1191.34,,-2.91,-1213.18,-1638.18,-1131.09,-281.97,,-280.94,,32,,False,False,False,False,False,False,False
