Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude,Status_demographicsCosine,Status_travelJaccard,Status_dtwAllEdges,Status_dtwCommunication,Status_glPhone-undir5,Status_glEmail-undir5
616050,4,590502,1073648347,0.166667,,,,,,,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
599956,0,635665,1736985600,1.0,,,,,,,out of pairing,out of pairing,supplementary,supplementary,supplementary,supplementary
599956,0,490041,1736996107,1.0,,,,,,,supplementary,out of pairing,common,common,common,supplementary
599956,0,490041,1737002279,1.0,,,,,,,supplementary,out of pairing,common,common,common,supplementary
490041,0,599956,1737004035,1.0,,,,,,,supplementary,out of pairing,common,common,common,supplementary
490041,0,599956,1737021459,1.0,,,,,,,supplementary,out of pairing,common,common,common,supplementary
490041,0,635665,1737040183,1.0,,,,,,,out of pairing,out of pairing,supplementary,supplementary,supplementary,common
599956,0,635665,1737058549,1.0,,,,,,,out of pairing,out of pairing,supplementary,supplementary,supplementary,supplementary
490041,0,599956,1737079683,1.0,,,,,,,supplementary,out of pairing,common,common,common,supplementary
490041,1,589639,1737106981,1.0,0.0,0.0,34.5741,-42.0541,30.4483,-42.5341,supplementary,out of pairing,out of pairing,out of pairing,supplementary,out of pairing
599956,1,635665,1737112976,1.0,0.0,0.0,34.2958,-39.025999999999996,29.3296,-37.8076,out of pairing,out of pairing,supplementary,supplementary,common,common
599956,0,589639,1737127164,1.0,,,,,,,supplementary,out of pairing,out of pairing,out of pairing,supplementary,out of pairing
599956,1,589639,1737155586,1.0,0.0,0.0,34.2958,-39.025999999999996,30.4483,-42.5341,supplementary,out of pairing,out of pairing,out of pairing,supplementary,out of pairing
490041,1,635665,1737212600,1.0,0.0,0.0,34.5741,-42.0541,29.3296,-37.8076,out of pairing,out of pairing,supplementary,supplementary,common,common
599956,1,589639,1737226419,1.0,0.0,0.0,34.2958,-39.025999999999996,30.4483,-42.5341,supplementary,out of pairing,out of pairing,out of pairing,supplementary,out of pairing
599956,1,589639,1737230519,1.0,0.0,0.0,34.2958,-39.025999999999996,30.4483,-42.5341,supplementary,out of pairing,out of pairing,out of pairing,supplementary,out of pairing
599956,0,589639,1737255541,1.0,,,,,,,supplementary,out of pairing,out of pairing,out of pairing,supplementary,out of pairing
490041,1,589639,1737257999,1.0,0.0,0.0,34.5741,-42.0541,30.4483,-42.5341,supplementary,out of pairing,out of pairing,out of pairing,supplementary,out of pairing
599956,0,635665,1737266380,1.0,,,,,,,out of pairing,out of pairing,supplementary,supplementary,supplementary,supplementary
490041,0,589639,1737287971,1.0,,,,,,,supplementary,out of pairing,out of pairing,out of pairing,supplementary,out of pairing
