templateID,candidateID,demographicsCosine,travelJaccard,dtwAllEdges,dtwCommunication,glPhone-dir4,glPhone-undir5,glEmail-dir4,glEmail-undir5,glTravel-dir4,glTravel-undir5,glCommunication-dir4,glCommunication-undir5,dtwTravel,Country,F_Smoker,F_Education,F_Property,F_Mortgage,F_Gas,F_Rich,F_Renting,templateNeighbors,candidateNeighbors,nbCommonCommNeighbors
67,607386,,,0.3265986323710904,0.3283053930987496,0.8863342767549212,0.5486739633456833,,,,,0.7650908386268369,0.5902685036302433,,False,False,False,False,False,False,False,False,4,25,27.0
37,542649,,,0.3605551275463988,0.5943849032181525,0.9010242133425136,0.5380014852419389,,,,,0.8385131901904169,0.5891286101730454,,False,False,False,False,False,False,False,False,29,4,2.0
39,493652,0.36239376961226394,,0.34156502553198664,0.3711125852058962,0.6942034113082671,0.6622167622513133,0.9346549257876393,0.5272877711801953,,,0.8173714817535485,0.7177921276883379,,False,False,False,False,False,False,False,False,27,26,46.0
40,541619,0.3589344542795204,,0.223606797749979,0.25664813163756695,0.9628733325210714,0.7478786250198494,0.9585464008354286,0.8298130526629037,,,0.9582324990862052,0.9055528648791406,,False,False,False,False,False,False,False,False,29,31,7.0
41,538892,0.11622614983465235,1.0,0.5163977794943222,0.7462481005301859,0.8851550432243873,0.8119145970598748,0.8126944331607551,0.45235792503233696,0.9832883603024996,0.6620771181579593,0.8346232622431178,0.8066260689427177,2.3603767833730263e-162,False,False,False,False,False,False,False,False,36,29,45.0
43,500813,0.2647335856446543,,0.3651483716701107,0.3283053930987496,0.6989953927513639,0.5960578349747984,0.722210824097424,0.4574516417648669,,,0.8341403184548332,0.6400146484705704,,False,False,False,False,False,False,False,False,30,29,12.0
45,516236,0.1903545883921075,,0.23804761428476165,0.31905549232951425,0.8227660662422546,0.8008217480027571,0.7777883472597626,0.5272686307570618,,,0.8379575462786328,0.7942255103906378,,False,False,False,False,False,False,False,False,35,27,2.0
47,544074,0.35883358068697474,,0.2081665999466132,0.2997004492513102,0.7881900402773484,0.5724855700355406,0.8322573822649918,0.5334409309340655,,,0.8587933601848989,0.5351511995163548,,False,False,False,False,False,False,False,False,29,25,31.0
56,614761,0.4404753311534577,,0.21602468994692864,0.3629552685195626,0.7119227434400167,0.6046428814564218,0.8956627301546864,0.4531029751717438,,,0.8726395286787443,0.6430309465071828,,False,False,False,False,False,False,False,False,29,24,27.0
57,572391,0.8244958025719434,,0.1632993161855452,0.13403011548263108,0.8507307364569172,0.6640871139692671,0.7168224291459192,0.7379301320367674,,,0.6931687360503299,0.5413301241032091,,False,False,False,False,False,False,False,False,33,27,19.0
58,493094,0.9325091387712999,,0.1914854215512676,0.25664813163756695,0.9256718003151672,0.7927371421918863,,,,,0.9599771232466284,0.6807543774530482,,False,False,False,False,False,False,False,False,26,23,23.0
27,521318,,,0.1914854215512676,0.8370178029141372,0.8547712285752301,0.497870518309131,,,,,0.9170121306144172,0.5212811408841683,,False,False,False,False,False,False,False,False,32,3,3.0
63,536003,,,0.404145188432738,0.5471756551645829,0.8914374402397199,0.5359681867505202,,,,,0.8100155204195102,0.5509755193061695,,False,False,False,False,False,False,False,False,30,3,18.0
