Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude,Status_demographicsCosine,Status_travelJaccard,Status_dtwAllEdges,Status_dtwCommunication,Status_glPhone-undir5,Status_glEmail-undir5
636721,2,585417,1735788186,1398.0,,,,,,,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
628320,1,557269,1735875926,1.0,4.0,4.0,0.22407800000000003,-163.624,2.40053,-161.28799999999998,supplementary,out of pairing,supplementary,supplementary,out of pairing,common
546593,1,492850,1735901442,1.0,0.0,3.0,32.2146,-42.6609,-24.9904,-111.346,supplementary,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
536906,0,569329,1736614806,1.0,,,,,,,supplementary,out of pairing,common,common,common,out of pairing
483005,0,655963,1736904244,1.0,,,,,,,supplementary,out of pairing,common,common,out of pairing,common
601496,0,557269,1736923208,1.0,,,,,,,supplementary,out of pairing,out of pairing,out of pairing,out of pairing,supplementary
580798,6,625756,1736985600,5.0,2.0,3.0,-22.0,91.0,-25.0,-111.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
580798,6,625756,1736985600,5.0,2.0,3.0,-22.0,91.0,-25.0,-111.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
580798,6,625756,1736985600,5.0,2.0,3.0,-22.0,91.0,-25.0,-111.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
580798,6,625756,1736985600,5.0,2.0,3.0,-22.0,91.0,-25.0,-111.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
580798,6,625756,1736985600,5.0,2.0,3.0,-22.0,91.0,-25.0,-111.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
492850,6,625756,1737331200,-1.0,5.0,3.0,22.0,156.0,-25.0,-111.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
492850,6,625756,1737331200,-1.0,5.0,3.0,22.0,156.0,-25.0,-111.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
492850,6,625756,1737331200,-1.0,5.0,3.0,22.0,156.0,-25.0,-111.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
492850,6,625756,1737331200,-1.0,5.0,3.0,22.0,156.0,-25.0,-111.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
492850,6,625756,1737331200,-1.0,5.0,3.0,22.0,156.0,-25.0,-111.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
639642,1,639642,1737337714,1.0,5.0,5.0,21.5434,154.279,21.5434,154.279,supplementary,out of pairing,out of pairing,out of pairing,out of pairing,supplementary
636721,3,461577,1737358771,8.0,,,,,,,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
636721,3,629826,1737465157,230.0,,,,,,,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
557269,1,544636,1737511016,1.0,4.0,3.0,2.40053,-161.28799999999998,-23.8755,-111.541,supplementary,out of pairing,supplementary,supplementary,out of pairing,common
636721,3,618398,1737544584,14.0,,,,,,,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
579305,1,544636,1737682924,1.0,0.0,3.0,39.8886,-41.778,-23.8755,-111.541,supplementary,out of pairing,supplementary,supplementary,out of pairing,common
584457,0,639642,1738023383,1.0,,,,,,,common,out of pairing,out of pairing,out of pairing,out of pairing,common
636721,2,655265,1738466428,724.0,,,,,,,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
636721,3,588802,1738542410,596.0,,,,,,,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
516873,0,483005,1738578046,1.0,,,,,,,supplementary,out of pairing,out of pairing,out of pairing,out of pairing,supplementary
492850,0,580798,1738673430,1.0,,,,,,,supplementary,supplementary,supplementary,supplementary,out of pairing,out of pairing
636721,3,499177,1738825951,1.0,,,,,,,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
536906,0,584457,1739669071,1.0,,,,,,,supplementary,out of pairing,out of pairing,out of pairing,supplementary,common
569329,1,482012,1740115843,1.0,0.0,3.0,28.7426,-41.4508,-24.5756,-110.945,supplementary,supplementary,supplementary,supplementary,out of pairing,out of pairing
536906,1,492850,1740308402,1.0,5.0,3.0,22.429000000000002,154.859,-24.9904,-111.346,supplementary,out of pairing,common,common,common,out of pairing
544636,0,544636,1740787389,1.0,,,,,,,supplementary,out of pairing,supplementary,supplementary,out of pairing,supplementary
580798,0,482012,1741089351,1.0,,,,,,,supplementary,supplementary,supplementary,supplementary,out of pairing,out of pairing
546593,0,580798,1741491722,1.0,,,,,,,supplementary,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
536906,0,541907,1741651932,1.0,,,,,,,supplementary,out of pairing,common,common,supplementary,out of pairing
464579,0,611572,1742443583,1.0,,,,,,,out of pairing,out of pairing,out of pairing,out of pairing,supplementary,out of pairing
584457,0,601496,1742455340,1.0,,,,,,,supplementary,out of pairing,out of pairing,out of pairing,out of pairing,common
546593,1,588172,1742523865,1.0,0.0,4.0,32.2146,-42.6609,3.00486,-159.23,common,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
584457,0,639642,1742524050,1.0,,,,,,,common,out of pairing,out of pairing,out of pairing,out of pairing,common
579305,1,639642,1742538746,1.0,0.0,5.0,39.8886,-41.778,21.5434,154.279,supplementary,out of pairing,out of pairing,out of pairing,out of pairing,common
569329,6,561157,1742601600,-1.0,0.0,0.0,33.0,-41.0,33.0,-41.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
569329,6,561157,1742601600,-1.0,0.0,0.0,33.0,-41.0,33.0,-41.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
569329,6,561157,1742601600,-1.0,0.0,0.0,33.0,-41.0,33.0,-41.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
569329,6,561157,1742601600,-1.0,0.0,0.0,33.0,-41.0,33.0,-41.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
569329,6,561157,1742601600,-1.0,0.0,0.0,33.0,-41.0,33.0,-41.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
636721,0,546593,1743063260,1.0,,,,,,,supplementary,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
536906,1,516873,1743086562,1.0,5.0,2.0,22.429000000000002,154.859,-22.066,93.12899999999999,supplementary,out of pairing,out of pairing,out of pairing,out of pairing,supplementary
536906,0,585606,1743832655,1.0,,,,,,,supplementary,out of pairing,out of pairing,out of pairing,common,supplementary
579305,0,584457,1744267569,1.0,,,,,,,supplementary,out of pairing,out of pairing,out of pairing,supplementary,common
580798,6,509607,1744329600,1.0,2.0,4.0,-22.0,91.0,1.0,-165.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
580798,6,509607,1744329600,1.0,2.0,4.0,-22.0,91.0,1.0,-165.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
580798,6,509607,1744329600,1.0,2.0,4.0,-22.0,91.0,1.0,-165.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
580798,6,509607,1744329600,1.0,2.0,4.0,-22.0,91.0,1.0,-165.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
580798,6,509607,1744329600,1.0,2.0,4.0,-22.0,91.0,1.0,-165.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
464579,1,580237,1744520405,1.0,0.0,1.0,33.7833,-45.4927,-32.7065,-10.3259,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
482012,6,561157,1744675200,3.0,5.0,0.0,22.0,156.0,33.0,-41.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
482012,6,561157,1744675200,3.0,5.0,0.0,22.0,156.0,33.0,-41.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
482012,6,561157,1744675200,3.0,5.0,0.0,22.0,156.0,33.0,-41.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
482012,6,561157,1744675200,3.0,5.0,0.0,22.0,156.0,33.0,-41.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
482012,6,561157,1744675200,3.0,5.0,0.0,22.0,156.0,33.0,-41.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
566580,0,584457,1744679333,1.0,,,,,,,supplementary,out of pairing,out of pairing,out of pairing,common,supplementary
492850,6,625756,1745193600,-1.0,0.0,3.0,33.0,-41.0,-25.0,-111.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
492850,6,625756,1745193600,-1.0,0.0,3.0,33.0,-41.0,-25.0,-111.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
492850,6,625756,1745193600,-1.0,0.0,3.0,33.0,-41.0,-25.0,-111.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
492850,6,625756,1745193600,-1.0,0.0,3.0,33.0,-41.0,-25.0,-111.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
492850,6,625756,1745193600,-1.0,0.0,3.0,33.0,-41.0,-25.0,-111.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
557269,0,639642,1745281669,1.0,,,,,,,supplementary,out of pairing,out of pairing,out of pairing,out of pairing,supplementary
636721,3,482579,1745378938,24.0,,,,,,,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
657526,1,536906,1745409639,1.0,1.0,5.0,-25.7329,-14.9697,22.429000000000002,154.859,supplementary,out of pairing,supplementary,supplementary,out of pairing,supplementary
636721,2,655265,1745805048,2.0,,,,,,,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
536906,1,579305,1745834450,1.0,5.0,0.0,22.429000000000002,154.859,39.8886,-41.778,supplementary,out of pairing,supplementary,supplementary,supplementary,common
482012,6,509607,1746144000,3.0,3.0,4.0,-25.0,-111.0,1.0,-165.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
482012,6,509607,1746144000,3.0,3.0,4.0,-25.0,-111.0,1.0,-165.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
482012,6,509607,1746144000,3.0,3.0,4.0,-25.0,-111.0,1.0,-165.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
482012,6,509607,1746144000,3.0,3.0,4.0,-25.0,-111.0,1.0,-165.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
482012,6,509607,1746144000,3.0,3.0,4.0,-25.0,-111.0,1.0,-165.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
636721,2,655265,1746496825,1312.0,,,,,,,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
536906,1,628320,1746502810,1.0,5.0,4.0,22.429000000000002,154.859,0.22407800000000003,-163.624,supplementary,out of pairing,supplementary,supplementary,out of pairing,common
536906,0,571369,1746512278,1.0,,,,,,,supplementary,out of pairing,out of pairing,out of pairing,common,out of pairing
544636,1,557269,1746534099,1.0,3.0,4.0,-23.8755,-111.541,2.40053,-161.28799999999998,supplementary,out of pairing,supplementary,supplementary,out of pairing,common
464579,1,579305,1746588626,1.0,0.0,0.0,33.7833,-45.4927,39.8886,-41.778,supplementary,out of pairing,common,common,supplementary,out of pairing
557269,1,544636,1746846129,1.0,4.0,3.0,2.40053,-161.28799999999998,-23.8755,-111.541,supplementary,out of pairing,supplementary,supplementary,out of pairing,common
482012,6,625756,1746921600,-1.0,2.0,3.0,-22.0,91.0,-25.0,-111.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
482012,6,625756,1746921600,-1.0,2.0,3.0,-22.0,91.0,-25.0,-111.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
482012,6,625756,1746921600,-1.0,2.0,3.0,-22.0,91.0,-25.0,-111.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
482012,6,625756,1746921600,-1.0,2.0,3.0,-22.0,91.0,-25.0,-111.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
