templateID,candidateID,demographicsCosine,travelJaccard,dtwAllEdges,dtwCommunication,glPhone-dir4,glPhone-undir5,glEmail-dir4,glEmail-undir5,glTravel-dir4,glTravel-undir5,glCommunication-dir4,glCommunication-undir5,dtwTravel,Country,F_Smoker,F_Education,F_Property,F_Mortgage,F_Gas,F_Rich,F_Renting,templateNeighbors,candidateNeighbors,nbCommonCommNeighbors
43,542965,0.2047289376813879,,0.6928203230275508,,0.9343290896696881,0.6151867219558806,0.7048817489789074,0.3678546754387252,,,0.9138069301914656,0.6344877124502232,,False,False,False,False,False,False,False,False,30,24,5.0
27,500813,0.599528440003504,,0.270801280154532,0.6566107861974992,0.7301873049132818,0.4649519805965291,0.7409228640170245,0.4531029751717438,,,0.8201248699421879,0.6467151182631798,,False,False,False,False,False,False,False,False,32,29,7.0
39,544074,0.09190963103112398,,0.30550504633038933,0.31905549232951425,0.7882181800253798,0.5804952464927914,0.8304654397570566,0.5871958236920439,,,0.8868062686342547,0.742754819448895,,False,False,False,False,False,False,False,False,27,25,49.0
63,542649,,,0.3958114029012639,0.5416762627738958,0.8551234113299515,0.5359681867505202,,,,,0.8885564702538089,0.5509755193061695,,False,False,False,False,False,False,False,False,30,4,1.0
66,607386,,,,,0.8658359213500126,0.664061537861499,,,,,1.0,0.7981450205067102,,False,False,False,False,False,False,False,False,1,25,5.0
34,536003,,,0.264575131106459,0.7217742609932384,0.930063089605282,0.40636852378370064,,,,,0.8181640329737332,0.43155509737365355,,False,False,False,False,False,False,False,False,29,3,0.0
56,572391,0.6952343119557497,,0.223606797749979,0.3711125852058962,0.7352606796004241,0.6429877006090825,0.7722148350327508,0.3950461686919114,,,0.8358616213522628,0.6261634632292974,,False,False,False,False,False,False,False,False,29,27,5.0
47,538892,0.32321170507977415,,0.2581988897471611,0.25664813163756695,0.7419966066593453,0.5322067457556321,0.6847456934667557,0.459928177390367,,,0.8446277907506554,0.515588729894526,,False,False,False,False,False,False,False,False,29,29,37.0
57,521318,,,0.0816496580927726,0.13403011548263108,0.8553820382779205,0.5150449051404419,,,,,0.7502053388436808,0.5112754236328635,,False,False,False,False,False,False,False,False,33,3,0.0
45,614761,0.35879191129867627,,0.2081665999466132,0.13403011548263108,0.5431123828754181,0.54591164891141,0.9271539084793131,0.43902434546711583,,,0.8283370224676426,0.6360061303261626,,False,False,False,False,False,False,False,False,35,24,10.0
0,516236,0.836833400463504,,,,0.8768163056437089,0.7820247977507506,0.9402363136122031,0.6995753754635586,,,0.8631292284930099,0.9206490789597334,,False,False,False,False,False,False,False,False,24,27,1.0
65,541619,0.19669747885508276,,0.14142135623730948,0.1730321350514957,0.9355950260951834,0.7478786250198494,0.9585464008354286,0.8298130526629037,,,0.9914126701460244,0.9055528648791406,,False,False,False,False,False,False,False,False,29,31,4.0
67,493652,,,0.3,0.3283053930987496,0.8434034786883733,0.5422162135155432,,,,,0.800695336512475,0.6027106061979772,,False,False,False,False,False,False,False,False,4,26,18.0
40,493094,0.6810893203490728,,0.1914854215512676,0.20473438320094323,0.769625737475961,0.5544491267543588,,,,,0.9688683429021568,0.8441769692798781,,False,False,False,False,False,False,False,False,29,23,0.0
