templateID,candidateID,demographicsCosine,travelJaccard,dtwAllEdges,dtwCommunication,glPhone-dir4,glPhone-undir5,glEmail-dir4,glEmail-undir5,glTravel-dir4,glTravel-undir5,glCommunication-dir4,glCommunication-undir5,dtwTravel,Country,F_Smoker,F_Education,F_Property,F_Mortgage,F_Gas,F_Rich,F_Renting,templateNeighbors,candidateNeighbors,nbCommonCommNeighbors
65,623295,0.31351953964962376,,0.1732050807568877,0.14981285083167667,0.8587194226911483,0.6051971181108761,0.8258584086103744,0.8152936690445514,,,0.9262340348564404,0.6872157323014317,,False,False,False,False,False,False,False,False,29,27,1.0
34,568093,0.8250731550340391,,0.5567764362830022,0.4576858193421908,0.7967833107152552,0.5123285214366047,0.7193567879660683,0.9718115111217305,,,0.7752892378101379,0.8581463042982116,,False,False,False,False,False,False,False,False,29,25,16.0
67,490041,,,0.3741657386773941,0.31583322092743266,0.8647985091869649,0.48802783728201343,,,,,0.8271194051898895,0.3859761808765202,,False,False,False,False,False,False,False,False,4,30,37.0
37,632150,0.4123021742420312,,0.3651483716701107,0.38357811404726905,0.8820758813826148,0.37751556411640397,0.6414910634427538,0.7291549266866367,,,0.6913162777368447,1.0,,False,False,False,False,False,False,False,False,29,23,29.0
39,599956,0.856711639928974,,0.5131601439446883,0.44943855249503,0.7755180219085847,0.32782305888764446,0.942815683756084,0.8041726506021113,,,0.8742430803362229,0.42826434723842977,,False,False,False,False,False,False,False,False,27,32,38.0
40,533140,0.22860368942491477,,0.223606797749979,0.1800526384656827,0.9075818768774532,0.6670609945860745,0.8562978206143459,0.8149961437136511,,,0.9831967048868095,0.94727628636539,,False,False,False,False,False,False,False,False,29,24,6.0
41,616050,0.6800753862756208,,0.5859465277082315,0.5355212809907882,0.7998275894647432,0.589992514699525,0.8094515477398536,0.8450581419647295,,,0.871275559006826,0.7725374552553649,,False,False,False,False,False,False,False,False,36,26,26.0
43,635665,0.5480068624772061,,0.3696845502136472,0.31583322092743266,0.7278500335406717,0.46448386743864534,0.6262475282447514,0.8072213256133276,,,0.7672796349804484,0.7024024618309183,,False,False,False,False,False,False,False,False,30,38,35.0
45,640464,0.4470388763229677,,0.2516611478423583,0.21767302573967065,0.8594316968412639,0.3905168495916314,0.843792241640421,0.8192793053408952,,,0.8327121020259669,0.6109964987123305,,False,False,False,False,False,False,False,False,35,27,9.0
47,550287,,,0.28284271247461895,0.3274628531597152,0.8463625367220999,0.45513409385309567,,,,,0.9125275756519984,0.6316083793679154,,False,False,False,False,False,False,False,False,29,4,4.0
56,570411,0.14674850583666088,,0.2516611478423583,0.2735195926822196,0.7590976959369512,0.5069930729307869,0.8236104296540447,0.8670294936687248,,,0.7261321174862182,0.6058614722380808,,False,False,False,False,False,False,False,False,29,25,1.0
57,512397,0.4298027956105065,,0.21602468994692864,0.08649448975573376,0.8318576789087859,0.4755436557399502,,,,,0.6668291045044463,0.7962500765591343,,False,False,False,False,False,False,False,False,33,28,3.0
58,550361,0.09344709016538705,,0.223606797749979,0.17298897951146752,0.7079300348449779,0.510612724177873,0.7048676269953704,0.7635368880934277,,,0.7215146843870719,0.4625564266326309,,False,False,False,False,False,False,False,False,26,30,23.0
27,464459,0.525801627267525,,0.2581988897471611,1.0,0.7064353607695322,0.6722487421145159,0.8659114161102146,0.43256055272430566,,,0.8862437022981937,0.957569433268643,,False,False,False,False,False,False,False,False,32,26,21.0
63,492777,0.5551452051727178,,0.3651483716701107,0.3868151175459598,0.6767201493878172,0.4437688323281379,0.496126492112839,0.7927650432554744,,,0.6266117725429289,0.5722663034018559,,False,False,False,False,False,False,False,False,30,26,27.0
