templateID,candidateID,demographicsCosine,travelJaccard,dtwAllEdges,dtwCommunication,glPhone-dir4,glPhone-undir5,glEmail-dir4,glEmail-undir5,glTravel-dir4,glTravel-undir5,glCommunication-dir4,glCommunication-undir5,dtwTravel,Country,F_Smoker,F_Education,F_Property,F_Mortgage,F_Gas,F_Rich,F_Renting,templateNeighbors,candidateNeighbors,nbCommonCommNeighbors
65,644830,,,0.06262242910851495,0.14455283597377017,0.9294059031387896,0.8048579826701701,,,,,0.9689625822330183,0.934919367480074,,False,False,False,False,False,False,False,False,29,4,0.0
34,572413,0.28639275827306276,,0.18786728732554484,0.3745644236479041,0.8501813113563061,0.5836585834659488,0.8834015340415857,0.5366974838974193,,,0.7838336380631954,0.5366883810410223,,False,False,False,False,False,False,False,False,29,29,15.0
67,585212,,,0.146862614204502,0.12216944435630524,0.8685984818240111,0.660593969443463,,,,,0.9766876750484484,0.8420032184422288,,False,False,False,False,False,False,False,False,4,31,15.0
37,629627,0.36325154004586907,,0.7343130710225101,0.8481762700492317,0.6972325516799629,0.5699719075804854,0.8596543312980948,0.548817752634746,,,0.7399622987771203,0.7719985152910999,,False,False,False,False,False,False,False,False,29,37,46.0
39,541017,0.8075261023263971,,0.21693045781865616,0.19699230987339003,0.8205272362035995,0.6494674190186955,0.9617681704213494,0.6426667404862784,,,0.7383833832771955,0.79566661402791,,False,False,False,False,False,False,False,False,27,33,20.0
40,599441,0.3673359824099388,0.8571428571428572,0.16568337391590282,0.18926408936295352,0.9673690687812352,0.6346722748198339,0.8102140434543471,0.9535052643325904,0.800006398206162,0.2437630067015594,0.8198055985842131,0.8544662070690144,0.21821789023599242,False,False,False,False,False,False,False,False,29,29,7.0
41,534034,0.07695810888065457,0.8571428571428572,0.4428074427700477,0.6059407389377924,0.8457605115060571,0.6682740344231539,0.7434367919420344,0.8636810998172808,0.800006398206162,0.2437630067015594,0.7595337096506759,0.7057782857406955,0.15430334996209194,False,False,False,False,False,False,False,False,36,29,30.0
43,477138,0.12845536441853578,,0.18786728732554484,0.23180022278587673,0.6726077327016313,0.6271285225282485,0.7464312464568589,0.501105957663209,,,0.6587523847646349,0.5815174470222432,,False,False,False,False,False,False,False,False,30,24,26.0
45,515794,0.6559830655054795,,0.26196841599779197,0.2503728562847401,0.7508354424636576,0.5993102169286658,0.8289677905645408,0.49622608534791957,,,0.8784598506959488,0.5178394969055335,,False,False,False,False,False,False,False,False,35,29,16.0
47,534449,0.20909879090038647,,0.32839478871459266,0.38245085529570716,0.7684929419915911,0.46978735771250496,0.7371890706316739,0.4560975983128971,,,0.7023516956354895,0.6738925923686719,,False,False,False,False,False,False,False,False,29,21,13.0
56,527597,0.601686468145236,,0.146862614204502,0.24433888871261047,0.9022297664540008,0.6391632564545983,0.6409497338593938,0.7633268747794921,,,0.6592187265835746,0.6369663918360188,,False,False,False,False,False,False,False,False,29,30,16.0
57,505965,0.8202822294398449,,0.1533929977694741,0.47630417974419575,0.7565740970502692,0.4960262426010409,0.8299980457224316,0.2982026687453961,,,0.7188882554831704,0.7081166615588568,,False,False,False,False,False,False,False,False,33,30,2.0
58,639051,0.7441230333534197,,0.20291986247835694,0.2562647884338478,0.8154092495648462,0.5185434389480276,0.7682272264839566,0.5350405762566519,,,0.7740958267246444,0.7398372143369848,,False,False,False,False,False,False,False,False,26,25,23.0
27,563211,0.6514478184773396,,0.19802950859533489,0.6132857433407977,0.8854783778050913,0.566902355983299,0.7532688848477807,0.7897950655435539,,,0.715507616276529,0.5806432634744869,,False,False,False,False,False,False,False,False,32,32,14.0
63,544615,0.5216998540291549,,0.2835351069316551,0.34554737023254406,0.7500492696260217,0.48651752275947746,0.8771359467979652,0.501105957663209,,,0.7069643433994047,0.6785955198293571,,False,False,False,False,False,False,False,False,30,28,29.0
