templateID,candidateID,demographicsCosine,travelJaccard,profileJaccard,dtwAllEdges,dtwCommunication,glPhone-dir4,glPhone-undir5,glEmail-dir4,glEmail-undir5,glTravel-dir4,glTravel-undir5,glCommunication-dir4,glCommunication-undir5,dtwTravel,Country,F_Smoker,F_Education,F_Property,F_Mortgage,F_Gas,F_Rich,F_Renting,templateNeighbors,candidateNeighbors,nbCommonCommNeighbors
54,538892,0.660477322817288,,0.6666666666666667,,,,,,,,,,,,False,False,False,False,False,False,False,False,20,29,0.0
39,628223,0.8955348337452053,,0.8333333333333334,,,,,,,,,,,,False,False,False,False,False,False,False,False,27,23,0.0
63,492701,0.6322204276461231,,0.8333333333333334,,,,,,,,,,,,False,False,False,False,False,False,False,False,30,21,0.0
64,478754,0.743191037022358,,0.25,,,,,,,,,,,,False,False,False,False,False,False,False,False,20,18,0.0
58,516236,0.8484643863085559,,0.8,0.20291986247835694,0.2342281855216576,0.8433722932406258,0.8678439017864812,0.7752883850411123,0.3673968387523605,,,0.7621579267728023,0.7379253828866719,,False,False,False,False,False,False,False,False,26,27,0.0
43,604113,0.10110835678846342,,1.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,30,18,0.0
40,614761,0.24434340321996123,,0.8,0.140028008402801,0.1412449103092897,0.7924361110927761,0.5747482143234783,0.9050039333494538,0.7021046114885987,,,0.9341067019342146,0.8929683586668563,,False,False,False,False,False,False,False,False,29,24,0.0
53,541619,0.6858911671722024,,0.8,,,,,,,,,,,,False,False,False,False,False,False,False,False,17,31,0.0
59,508898,0.6660860121193113,,0.75,,,,,,,,,,,,False,False,False,False,False,False,False,False,17,21,0.0
41,610497,0.1287765381509074,,1.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,36,19,0.0
57,520084,0.22304566404825277,,0.625,,,,,,,,,,,,False,False,False,False,False,False,False,False,33,25,0.0
56,529433,0.29859555565405005,,0.8571428571428572,,,,,,,,,,,,False,False,False,False,False,False,False,False,29,27,0.0
46,575295,0.5634624747549491,,0.5,,,,,,,,,,,,False,False,False,False,False,False,False,False,22,19,0.0
60,500813,0.35041934844290745,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,18,29,0.0
48,568284,0.6328249671193816,,0.6666666666666667,,,,,,,,,,,,False,False,False,False,False,False,False,False,18,22,0.0
55,536951,0.37753719855691936,,1.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,15,20,0.0
49,544074,0.666659047053463,,0.8333333333333334,,,,,,,,,,,,False,False,False,False,False,False,False,False,27,25,0.0
61,493652,0.09708094555425406,,0.5,,,,,,,,,,,,False,False,False,False,False,False,False,False,21,26,0.0
42,607386,0.4241521939726468,,0.5,,,,,,,,,,,,False,False,False,False,False,False,False,False,19,25,0.0
52,542965,0.4712446481521121,,1.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,21,24,0.0
65,466976,0.6724718938554837,,0.8,,,,,,,,,,,,False,False,False,False,False,False,False,False,29,18,0.0
45,578531,0.5275929352968871,,0.5714285714285714,,,,,,,,,,,,False,False,False,False,False,False,False,False,35,25,0.0
44,584736,0.35416736888525235,,0.5,,,,,,,,,,,,False,False,False,False,False,False,False,False,18,20,0.0
62,493094,0.8021854686902968,,0.5,,,,,,,,,,,,False,False,False,False,False,False,False,False,20,23,0.0
47,572391,0.4512852710038466,,1.0,0.17712297710801905,0.2288429096710954,0.8148247853281376,0.4478461000271561,0.6753928412719967,0.42377597266193423,,,0.8725675942043097,0.5301273779537298,,False,False,False,False,False,False,False,False,29,27,0.0
38,657076,0.5258551449229687,,0.75,,,,,,,,,,,,False,False,False,False,False,False,False,False,20,19,0.0
