templateID,candidateID,demographicsCosine,travelJaccard,profileJaccard,dtwAllEdges,dtwCommunication,glPhone-dir4,glPhone-undir5,glEmail-dir4,glEmail-undir5,glTravel-dir4,glTravel-undir5,glCommunication-dir4,glCommunication-undir5,dtwTravel,Country,F_Smoker,F_Education,F_Property,F_Mortgage,F_Gas,F_Rich,F_Renting,templateNeighbors,candidateNeighbors,nbCommonCommNeighbors
43,632150,0.39263175535085726,,1.0,0.18257418583505539,0.1800526384656827,0.7280363824005094,0.48787925200795573,0.6397219029420993,0.6951282916746,,,0.9163188868924644,0.9601427260854176,,False,False,False,False,False,False,False,False,30,23,5.0
58,570411,0.8042601305000372,,0.8571428571428572,0.19301528944823082,0.21767302573967065,0.6850144652722278,0.387807716042701,0.6796211931563053,0.8290195915239931,,,0.783684632777313,0.6147588921100486,,False,False,False,False,False,False,False,False,26,25,4.0
27,568093,0.554917693369928,,0.8333333333333334,0.49308949989019313,0.5424613711151417,0.6937456788680241,0.5908602207496341,0.8007575440901301,0.9497512488415568,,,0.7932541806869311,0.8311816336489684,,False,False,False,False,False,False,False,False,32,25,9.0
39,599956,0.856711639928974,,0.7142857142857143,0.393575864077453,0.44943855249503,0.7755180219085847,0.3162001744543447,0.9417798039314356,0.765563505660861,,,0.8742430803362229,0.4232347428918535,,False,False,False,False,False,False,False,False,27,32,32.0
63,589639,0.42840118680854444,,0.5714285714285714,0.3223686843157241,0.3459779590229351,0.7789589846438021,0.426029676523545,0.7137789703459626,0.8509122743405062,,,0.7081125053629693,0.7384624786168674,,False,False,False,False,False,False,False,False,30,28,26.0
66,550287,,,,,,0.8680601508599373,0.7214478982940356,,,,,0.9560200502866456,0.3995797326470596,,False,False,False,False,False,False,False,False,1,4,0.0
41,550361,0.15937721894696805,,1.0,0.4034167795707261,0.48673168242196496,0.7249764913608556,0.5636353269150204,0.7822412456321572,0.7430465635074808,,,0.7425779959137608,0.5434068896685844,,False,False,False,False,False,False,False,False,36,30,55.0
34,635665,0.5764335220249736,,0.8333333333333334,0.5276659668284659,0.5117083021934133,0.7269048044404719,0.4214076819488752,0.6097441351470047,0.7458724456531751,,,0.7565175364890954,0.703150374355999,,False,False,False,False,False,False,False,False,29,38,36.0
56,616050,0.3941778290183658,,0.8,0.17712297710801905,0.25948346926720134,0.6418909304235052,0.557183647726225,0.7613247071482371,0.8167708512676729,,,0.8085212730019559,0.7135373498993848,,False,False,False,False,False,False,False,False,29,26,7.0
47,490041,0.502530847381209,,0.8,0.34866692910423897,0.3803135600922282,0.7064832519840569,0.31806357288098164,0.7119827635424985,0.6493596445253407,,,0.6942533874833927,0.3792821600887936,,False,False,False,False,False,False,False,False,29,30,40.0
57,623295,0.8088579746930005,,0.7142857142857143,0.146862614204502,0.1656243383273848,0.7026009137819438,0.48960342743523555,0.6993836425960398,0.7989097279973278,,,0.6818219383256604,0.5562270028610871,,False,False,False,False,False,False,False,False,33,27,22.0
45,492777,0.6219813659499169,,0.4,0.16568337391590282,0.3118603178593928,0.707412438575749,0.5018272796508272,0.7475584081198194,0.7496763007381205,,,0.7596602174015079,0.5572907213690923,,False,False,False,False,False,False,False,False,35,26,4.0
0,596193,0.39272489325053067,,0.6666666666666667,,,0.8034341562329745,0.5850308827237629,0.8751273633004704,0.8124240644054898,,,0.9763529812009594,0.6505035042361693,,False,False,False,False,False,False,False,False,24,24,6.0
65,640464,0.5857188966148619,,0.8333333333333334,0.18257418583505539,0.2058980693513018,0.8940723697615318,0.4663729576302069,0.8347778333449112,0.7160924834912142,,,0.9664785980258012,0.7195840533993149,,False,False,False,False,False,False,False,False,29,27,5.0
67,512397,,,,0.15965649400644924,0.15791661046371633,0.9463449643633092,0.7145945548223259,,,,,0.9776437351513788,0.5524459497071263,,False,False,False,False,False,False,False,False,4,28,0.0
40,464459,0.42509227897018603,1.0,0.8,0.23008949665421116,0.46310240811185854,0.891114788650755,0.5363453115113891,0.910228804682374,0.16607014970419454,0.6800021755329284,0.1162072751204845,0.9891114788650756,0.9784786949152058,0.15430334996209194,False,False,False,False,False,False,False,False,29,26,0.0
37,559657,,,,,,0.7585378379486974,0.5066978944879854,,,,,0.9031422965782908,0.8636111032436691,,False,False,False,False,False,False,False,False,29,1,7.0
